Temperatura de equilibrio (K),Masa estelar (M☉),koi_disposition
1419.0,1.536,CONFIRMED
292.0,1.004,CANDIDATE
511.0,1.472,CONFIRMED
1156.0,0.902,CONFIRMED
456.0,0.737,CONFIRMED
767.0,0.865,CONFIRMED
1302.0,1.124,CONFIRMED
569.0,0.567,CONFIRMED
977.0,0.884,CONFIRMED
881.0,0.868,CONFIRMED
1485.0,2.736,CONFIRMED
1237.0,0.868,CONFIRMED
567.0,0.868,CONFIRMED
657.0,0.91,CONFIRMED
899.0,0.882,CONFIRMED
938.0,1.002,CONFIRMED
758.0,1.051,CONFIRMED
615.0,0.467,CONFIRMED
484.0,0.467,CONFIRMED
301.0,0.467,CONFIRMED
448.0,0.856,CONFIRMED
621.0,1.024,CANDIDATE
425.0,0.4,CONFIRMED
996.0,0.805,CONFIRMED
672.0,1.084,CONFIRMED
578.0,1.084,CONFIRMED
454.0,0.52,CONFIRMED
1163.0,1.204,CONFIRMED
905.0,1.15,CANDIDATE
804.0,0.8,CONFIRMED
938.0,0.8,CONFIRMED
1414.0,0.8,CONFIRMED
984.0,1.156,CONFIRMED
756.0,1.156,CONFIRMED
2099.0,0.974,CONFIRMED
759.0,0.838,CONFIRMED
850.0,0.838,CONFIRMED
298.0,0.47,CONFIRMED
530.0,0.831,CONFIRMED
775.0,0.991,CONFIRMED
286.0,0.461,CANDIDATE
642.0,0.827,CONFIRMED
720.0,0.882,CONFIRMED
1537.0,1.204,CONFIRMED
679.0,0.882,CONFIRMED
875.0,0.938,CONFIRMED
502.0,0.535,CONFIRMED
641.0,0.939,CONFIRMED
879.0,1.048,CONFIRMED
1626.0,1.461,CANDIDATE
470.0,0.827,CONFIRMED
514.0,0.509,CONFIRMED
451.0,0.509,CONFIRMED
328.0,0.509,CONFIRMED
652.0,0.509,CONFIRMED
1026.0,0.509,CONFIRMED
632.0,0.93,CONFIRMED
641.0,0.637,CONFIRMED
1165.0,0.882,CONFIRMED
434.0,0.957,CONFIRMED
835.0,0.957,CONFIRMED
383.0,0.834,CONFIRMED
629.0,0.813,CONFIRMED
947.0,0.865,CONFIRMED
1131.0,1.021,CONFIRMED
3559.0,2.466,CONFIRMED
1308.0,1.304,CONFIRMED
879.0,0.978,CONFIRMED
530.0,0.978,CONFIRMED
699.0,1.043,CONFIRMED
1021.0,1.273,CONFIRMED
758.0,0.983,CONFIRMED
876.0,0.867,CONFIRMED
990.0,1.026,CONFIRMED
449.0,0.957,CANDIDATE
139.0,0.832,CANDIDATE
809.0,0.776,CONFIRMED
777.0,0.865,CONFIRMED
1200.0,0.865,CONFIRMED
350.0,0.852,CONFIRMED
1209.0,0.867,CONFIRMED
1051.0,1.108,CONFIRMED
690.0,0.786,CONFIRMED
486.0,0.781,CONFIRMED
206.0,1.083,CANDIDATE
366.0,1.033,CONFIRMED
618.0,0.836,CONFIRMED
915.0,0.884,CONFIRMED
865.0,0.867,CONFIRMED
840.0,0.854,CONFIRMED
991.0,0.854,CONFIRMED
957.0,1.079,CONFIRMED
525.0,0.132,CONFIRMED
729.0,0.132,CONFIRMED
455.0,0.132,CONFIRMED
437.0,0.84,CONFIRMED
594.0,0.84,CONFIRMED
1589.0,0.84,CONFIRMED
273.0,0.595,CONFIRMED
540.0,0.733,CANDIDATE
409.0,0.846,CONFIRMED
325.0,0.846,CONFIRMED
713.0,0.516,CONFIRMED
1361.0,0.799,CONFIRMED
298.0,0.981,CONFIRMED
1157.0,1.036,CONFIRMED
2149.0,0.979,CANDIDATE
1348.0,0.979,CANDIDATE
1425.0,0.926,CONFIRMED
1088.0,0.926,CONFIRMED
1087.0,1.381,CONFIRMED
1378.0,1.381,CONFIRMED
1131.0,0.817,CONFIRMED
851.0,0.817,CONFIRMED
1367.0,0.8,CONFIRMED
1098.0,0.8,CONFIRMED
919.0,0.8,CONFIRMED
807.0,0.969,CONFIRMED
1212.0,1.093,CONFIRMED
1035.0,1.093,CONFIRMED
563.0,0.821,CONFIRMED
808.0,0.821,CONFIRMED
540.0,0.662,CONFIRMED
416.0,0.662,CONFIRMED
277.0,0.662,CONFIRMED
